Flags,Pack,Image,Author,Difficulty,English,Spanish,German,French,Netherlands,Italian,Russian,Portuguese,Swedish,Danish,Norwegian,Finnish,Turkish,Polish,Greek,Czech,Lithuanian,Latvian,Estonian,Korean,Hungarian
,1,AARDVARK.JPG,© Lukas Blazek - Dreamstime,3,AARDVARK,ORICTEROPO,ERDFERKEL,ORYCTÉROPE,AARDVARKEN,ORITTEROPO,ТРУБКОЗУБ,AARDVARK,JORDSVIN,JORDSVIN,JORDSVIN,MAASIKA,KARINCAYİYEN,MRÓWNIK,ΟΡΥΚΤΕΡΟΠΟΥΣ,HRABÁČ,VAMZDŽIADANTIS,SKUDRULĀCIS,TUHNIK,땅돼지,FÖLDIMALAC
,1,ABBEY.JPG,© Olga Pankevych - Dreamstime,3,ABBEY,ABADÍA,ABTEI,ABBAYE,ABDIJ,ABBAZIA,АББАТСТВО,ABADIA,KLOSTER,KLOSTER,KLOSTER,LUOSTARI,MANASTIR,OPACTWO,ΑΒΑΕΙΟ,OPATSTVÍ,ABATIJA,ABATIJA,KLOOSTER,수도원,APÁTSÁG
,1,ABDUCTION.JPG,©  Andreus - Dreamstime,2,ABDUCTION,SECUESTRO,ENTFÜHRUNG,ENLÈVEMENT,ONTVOERING,RAPIMENTO,ПОХИЩЕНИЕ,RAPTO,BORTFÖRANDE,BORTFØRELSE,BORTFØRING,SIEPPAUS,KAÇIRMA,UPROWADZENIE,ΑΠΑΓΩΓΗ,ÚNOS,PAGROBIMAS,NOLAUPĪŠANA,VARGUS,납치하다,EMBERRABLÁS
,1,ABILITY.JPG,©  Revensis - Dreamstime,2,ABILITY,HABILIDAD,KÖNNEN,COMPÉTENCE,DENKVERMOGEN,ABILITÀ,УМЕНИЕ,HABILIDADE,FÖRMÅGA,EVNE,EVNE,KYKY,YETENEK,ZDOLNOŚĆ,ΙΚΑΝΟΤΗΤΑ,SCHOPNOST,GEBĖJIMAI,SPĒJA,OSKUS,두뇌 능력,KÉPESSÉG
,1,ABORIGINE.JPG,©  Dedmazay - Dreamstime,1,ABORIGINE,ABORIGEN,UREINWOHNER,ABORIGÈNE,INBOORLING,ABORIGENO,АБОРИГЕН,ABORÍGINE,URINVÅNARE,ABORIGINER,INNFØDT,ALKUASUKAS,YERLİ,ABORYGEN,ΑΒΟΡΙΓΙΝΑΣ,DOMORODEC,ABORIGENAS,IEZEMIETIS,ABORIGEEN,원주민,BENNSZÜLÖTT
,1,ABSENCE.JPG,© Ruslan Grechka - Dreamstime,2,ABSENCE,AUSENCIA,FEHLEN,ABSENCE,AFWEZIGHEID,ASSENZA,ОТСУТСТВИЕ,AUSÊNCIA,FRÅNVARO,FRAVÆR,MANGEL,PUUTE,YOKLUK,BRAK,ΑΠΟΥΣΙΑ,NEPŘÍTOMNOST,TRŪKUMAS,TRŪKUMS,PUUDUMINE,존재하지 않다,HIÁNY
,1,ABSORPTION.JPG,©  Dedmazay - Dreamstime,2,ABSORPTION,ABSORCIÓN,FRESSEN,ABSORPTION,OPSLOKKEN,ASSIMILAZIONE,ПОГЛОЩЕНИЕ,ABSORÇÃO,ABSORPTION,ABSORPTION,ABSORPSJON,NIELAISU,EMİLİM,POCHŁANIANIE,ΑΠΟΡΡΟΦΗΣΗ,POHLCENÍ,PRARIJIMAS,ABSORBĒŠANA,ABSORPTSIOON,잡아먹다,ELNYELÉS
,1,ACCESS.JPG,© Tamás Kárpáti - Dreamstime,2,ACCESS,ACCESO,ZUGANG,ACCÈS,TOEGANG,ACCESSO,ДОСТУП,ACESSO,TILLTRÄDE,ADGANG,ADGANG,PÄÄSY,GİRİŞ,DOSTĘP,ΠΡΟΣΒΑΣΗ,PŘÍSTUP,PRIEIGA,PIEEJA,JUURDEPÄÄS,접근하다,HOZZÁFÉRÉS
,1,ACCIDENT.JPG,© Artisticco Llc - Dreamstime,1,ACCIDENT,ACCIDENTE,UNFALL,ACCIDENT,ONGEVAL,INCIDENTE,АВАРИЯ,ACIDENTE,OLYCKA,ULYKKE,ULYKKE,KOLARI,KAZA,WYPADEK,ΑΤΥΧΗΜΑ,NEHODA,AVARIJA,NEGADĪJUMS,AVARII,사고 나다,BALESET
,1,ACID.JPG,© Carsten Reisinger - Dreamstime,2,ACID,ÁCIDO,SÄURE,ACIDE,ZUUR,ACIDO,КИСЛОТА,ÁCIDO,SYRA,SYRE,SYRE,HAPPO,ASİT,KWAS,ΟΞΥ,KYSELINA,RŪGŠTIS,SKĀBE,HAPE,산성 용액,SAV
